GEO/PHYSACT,Walking to get to and from place,Cycling to get to and from place,Aerobic sports,Muscle-strengthening,Gender,Age
Finland,90.9,37.5,81.5,63.9,female,22
Sweden,91.9,37.7,78.2,63.9,female,22
United Kingdom,84.2,7.3,59.4,31.4,female,22
Iceland,63.9,8.6,79.5,75.8,female,22
Norway,75.7,24.3,71.9,56.1,female,22
Turkey,74.4,2.2,8.0,1.1,female,22
Belgium,0,0,0,0,female,30
Bulgaria,96.0,9.0,13.1,9.5,female,30
Czech Republic,97.2,39.1,52.5,26.6,female,30
Denmark,83.1,58.3,75.0,49.8,female,30
Germany (until 1990 former territory of the FRG),79.2,27.5,64.5,42.4,female,30
Estonia,87.5,18.8,45.8,17.9,female,30
Ireland,86.7,11.1,56.1,42.2,female,30
Greece,88.5,14.3,29.9,16.0,female,30
Spain,84.6,8.8,45.9,16.4,female,30
France,67.9,7.7,46.1,25.7,female,30
Croatia,90.5,32.6,24.0,9.7,female,30
Italy,76.3,13.5,30.7,16.3,female,30
Cyprus,13.3,1.5,37.4,11.9,female,30
Latvia,94.6,25.3,51.1,28.6,female,30
Lithuania,79.7,15.6,20.2,9.1,female,30
Luxembourg,89.7,11.8,70.1,38.2,female,30
Hungary,92.3,43.6,42.8,33.6,female,30
Malta,68.2,2.1,50.7,7.3,female,30
Austria,82.6,19.9,68.4,38.4,female,30
Poland,88.9,23.3,29.7,10.9,female,30
Portugal,57.6,4.2,38.9,16.5,female,30
Romania,99.6,6.3,3.1,0.7,female,30
Slovenia,90.4,39.7,68.4,45.2,female,30
Slovakia,91.6,31.0,35.3,16.5,female,30
Finland,82.3,22.9,80.3,60.2,female,30
Sweden,84.6,35.9,74.0,57.8,female,30
United Kingdom,81.0,5.5,61.4,28.7,female,30
Iceland,60.7,9.9,73.6,70.4,female,30
Norway,74.4,26.9,73.6,49.2,female,30
Turkey,74.6,2.2,6.7,2.0,female,30
Belgium,0,0,0,0,female,40
Bulgaria,95.8,6.5,8.2,9.5,female,40
Czech Republic,96.4,34.3,41.0,15.1,female,40
Denmark,75.3,48.9,74.2,46.7,female,40
Germany (until 1990 former territory of the FRG),74.6,29.7,65.4,41.7,female,40
Estonia,80.5,22.1,41.1,13.2,female,40
Ireland,85.0,12.6,53.3,38.0,female,40
Greece,86.5,7.1,24.5,14.2,female,40
Spain,81.3,8.7,45.1,12.6,female,40
France,68.3,6.9,45.3,23.7,female,40
Croatia,90.9,34.2,19.5,6.9,female,40
Italy,75.2,14.2,26.2,14.2,female,40
Cyprus,11.9,1.3,35.0,8.9,female,40
Latvia,93.7,25.6,44.0,22.7,female,40
Lithuania,77.2,15.6,21.8,10.4,female,40
Luxembourg,89.3,13.6,63.4,36.9,female,40
